R,UCCSD (kJ/mol),UB3LYP (kJ/mol),UHF (kJ/mol)
5.25,637.324942,573.783424,1176.23487
5.26,637.3274295,573.7836078,1176.552824
5.27,637.3298641,573.7837811,1176.869073
5.28,637.3322471,573.7839412,1177.183633
5.29,637.3345795,573.7840882,1177.49652
5.3,637.3368625,573.7842221,1177.807751
5.31,637.339097,573.784335,1178.11734
5.32,637.341284,573.7844191,1178.425304
5.33,637.3434247,573.7844873,1178.731656
5.34,637.3455199,573.7845398,1179.036413
5.35,637.3475707,573.7845792,1179.33959
5.36,637.349578,573.7846028,1179.6412
5.37,637.3515427,573.7846133,1179.94126
5.38,637.3534656,573.7846133,1180.239782
5.39,637.3553478,573.7846002,1180.536782
5.4,637.35719,573.7845792,1180.832273
5.41,637.3589932,573.7845477,1181.12627
5.42,637.360758,573.7845083,1181.418785
5.43,637.3624855,573.7844611,1181.709834
5.44,637.3641762,573.7844059,1181.999429
5.45,637.3658311,573.7843482,1182.287584
5.46,637.3674509,573.7842852,1182.574311
5.47,637.3690363,573.7842221,1182.859625
5.48,637.3705881,573.7841539,1183.143536
5.49,637.3721069,573.7840882,1183.42606
5.5,637.3735935,573.78402,1183.707208
5.51,637.3750485,573.7839543,1183.986992
5.52,637.3764727,573.7838913,1184.265424
5.53,637.3778667,573.7838336,1184.542518
5.54,637.379231,573.7837784,1184.818285
5.55,637.3805664,573.7837312,1185.092736
5.56,637.3818735,573.7836892,1185.365885
5.57,637.3831529,573.7836524,1185.637741
5.58,637.3844051,573.7836262,1185.908317
5.59,637.3856307,573.7836051,1186.177624
5.6,637.3868303,573.7835946,1186.445674
5.61,637.3880045,573.7835894,1186.712477
5.62,637.3891537,573.7835973,1186.978044
5.63,637.3902786,573.7836104,1187.242386
5.64,637.3913795,573.783634,1187.505515
5.65,637.3924572,573.7836629,1187.767439
5.66,637.3935119,573.7837023,1188.028171
5.67,637.3945443,573.7837469,1188.28772
5.68,637.3955548,573.7837968,1188.546096
5.69,637.3965438,573.7838519,1188.80331
5.7,637.3975118,573.7839123,1189.059372
5.71,637.3984593,573.7839753,1189.314291
5.72,637.3993867,573.7840436,1189.568077
5.73,637.4002944,573.7841145,1189.820741
5.74,637.4011828,573.784188,1190.07229
5.75,637.4020524,573.7842641,1190.322736
5.76,637.4029035,573.7843377,1190.572086
5.77,637.4037366,573.7844138,1190.820351
5.78,637.404552,573.7844873,1191.06754
5.79,637.4053501,573.7845608,1191.31366
5.8,637.4061312,573.7846317,1191.558722
5.81,637.4068958,573.7846974,1191.802735
5.82,637.4076442,573.7847551,1192.045706
5.83,637.4083766,573.7848076,1192.287644
5.84,637.4090936,573.7848549,1192.528558
5.85,637.4097953,573.7848969,1192.768456
5.86,637.4104821,573.784931,1193.007347
5.87,637.4111543,573.7849625,1193.245239
5.88,637.4118123,573.7849862,1193.482139
5.89,637.4124563,573.7850019,1193.718056
5.9,637.4130867,573.7850124,1193.952997
5.91,637.4137037,573.785015,1194.186972
5.92,637.4143076,573.7850098,1194.419986
5.93,637.4148986,573.7849993,1194.652048
5.94,637.4154771,573.7849809,1194.883165
5.95,637.4160434,573.7849573,1195.113345
5.96,637.4165976,573.7849258,1195.342595
5.97,637.4171401,573.784889,1195.570923
5.98,637.417671,573.7848444,1195.798335
5.99,637.4181907,573.7847971,1196.024839
6,637.4186994,573.7847472,1196.250441
6.01,637.4191973,573.7846921,1196.475149
6.02,637.4196846,573.7846317,1196.69897
6.03,637.4201615,573.7845713,1196.92191
6.04,637.4206284,573.7845109,1197.143975
6.05,637.4210853,573.7844453,1197.365174
6.06,637.4215325,573.7843823,1197.585511
6.07,637.4219703,573.7843193,1197.804994
6.08,637.4223987,573.7842563,1198.023629
6.09,637.4228181,573.7841933,1198.241422
6.1,637.4232285,573.7841329,1198.45838
6.11,637.4236303,573.7840751,1198.674509
6.12,637.4240235,573.78402,1198.889814
6.13,637.4244084,573.7839675,1199.104302
6.14,637.4247851,573.7839202,1199.317979
6.15,637.4251538,573.7838756,1199.53085
6.16,637.4255147,573.7838362,1199.742922
6.17,637.425868,573.7837994,1199.9542
6.18,637.4262137,573.7837679,1200.16469
6.19,637.4265521,573.7837417,1200.374397
6.2,637.4268833,573.7837233,1200.583328
6.21,637.4272075,573.7837075,1200.791487
6.22,637.4275248,573.783697,1200.99888
6.23,637.4278354,573.7836918,1201.205512
6.24,637.4281394,573.7836918,1201.411389
6.25,637.4284369,573.7836944,1201.616516
6.26,637.4287282,573.7837049,1201.820898
6.27,637.4290132,573.7837207,1202.02454
6.28,637.4292922,573.783739,1202.227448
6.29,637.4295653,573.7837627,1202.429625
6.3,637.4298326,573.7837889,1202.631078
6.31,637.4300942,573.7838204,1202.831811
6.32,637.4303502,573.7838546,1203.031829
6.33,637.4306008,573.7838913,1203.231137
6.34,637.4308461,573.7839333,1203.429739
6.35,637.4310862,573.7839753,1203.62764
6.36,637.4313212,573.7840173,1203.824845
6.37,637.4315513,573.7840646,1204.021358
6.38,637.4317764,573.7841119,1204.217185
6.39,637.4319967,573.7841591,1204.412328
6.4,637.4322124,573.7842064,1204.606793
6.41,637.4324235,573.7842536,1204.800585
6.42,637.4326301,573.7843009,1204.993707
6.43,637.4328324,573.7843482,1205.186163
6.44,637.4330303,573.7843954,1205.377959
6.45,637.4332241,573.7844401,1205.569098
6.46,637.4334137,573.7844847,1205.759584
6.47,637.4335993,573.7845267,1205.949421
6.48,637.433781,573.7845661,1206.138614
6.49,637.4339588,573.7846055,1206.327166
6.5,637.4341328,573.7846422,1206.515082
6.51,637.4343032,573.7846764,1206.702365
6.52,637.4344699,573.7847052,1206.889019
6.53,637.4346331,573.7847341,1207.075048
6.54,637.4347929,573.7847577,1207.260456
6.55,637.4349492,573.7847787,1207.445247
6.56,637.4351022,573.7847971,1207.629424
6.57,637.435252,573.7848129,1207.812991
6.58,637.4353986,573.7848234,1207.995951
6.59,637.4355421,573.7848286,1208.178309
6.6,637.4356825,573.7848313,1208.360068
6.61,637.43582,573.7848313,1208.541231
6.62,637.4359545,573.784826,1208.721801
6.63,637.4360862,573.7848181,1208.901783
6.64,637.4362151,573.7848076,1209.08118
6.65,637.4363413,573.7847919,1209.259994
6.66,637.4364648,573.7847709,1209.438231
6.67,637.4365856,573.7847472,1209.615891
6.68,637.4367039,573.784721,1209.79298
6.69,637.4368197,573.7846921,1209.9695
6.7,637.436933,573.7846606,1210.145455
6.71,637.4370439,573.7846265,1210.320847
6.72,637.4371525,573.7845871,1210.49568
6.73,637.4372588,573.7845477,1210.669957
6.74,637.4373628,573.7845057,1210.843681
6.75,637.4374646,573.7844637,1211.016855
6.76,637.4375642,573.7844191,1211.189482
6.77,637.4376618,573.7843718,1211.361566
6.78,637.4377572,573.7843272,1211.533108
6.79,637.4378507,573.7842799,1211.704112
6.8,637.4379421,573.7842326,1211.874582
6.81,637.4380316,573.7841854,1212.044519
6.82,637.4381192,573.7841407,1212.213927
6.83,637.438205,573.7840961,1212.382808
6.84,637.4382889,573.7840515,1212.551166
6.85,637.4383711,573.7840121,1212.719003
6.86,637.4384515,573.7839701,1212.886321
6.87,637.4385302,573.7839333,1213.053125
6.88,637.4386072,573.7838992,1213.219415
6.89,637.4386826,573.7838677,1213.385196
6.9,637.4387564,573.7838362,1213.550469
6.91,637.4388286,573.7838099,1213.715237
6.92,637.4388993,573.7837889,1213.879504
6.93,637.4389685,573.7837706,1214.04327
6.94,637.4390362,573.7837548,1214.20654
6.95,637.4391025,573.7837417,1214.369315
6.96,637.4391674,573.7837338,1214.531599
6.97,637.4392309,573.7837312,1214.693393
6.98,637.4392931,573.7837312,1214.8547
6.99,637.4393539,573.7837338,1215.015522
7,637.4394135,573.7837417,1215.175862
7.01,637.4394718,573.7837548,1215.335723
7.02,637.4395288,573.7837679,1215.495106
7.03,637.4395846,573.7837863,1215.654014
7.04,637.4396393,573.7838099,1215.81245
7.05,637.4396928,573.7838336,1215.970415
7.06,637.4397451,573.7838624,1216.127913
7.07,637.4397964,573.7838913,1216.284945
7.08,637.4398466,573.7839255,1216.441513
7.09,637.4398956,573.7839596,1216.59762
7.1,637.4399437,573.783999,1216.753269
7.11,637.4399907,573.7840357,1216.90846
7.12,637.4400368,573.7840777,1217.063197
7.13,637.4400818,573.7841197,1217.217482
7.14,637.4401259,573.7841618,1217.371316
7.15,637.4401691,573.7842038,1217.524702
7.16,637.4402113,573.7842458,1217.677642
7.17,637.4402527,573.7842904,1217.830139
7.18,637.4402932,573.7843324,1217.982194
7.19,637.4403328,573.7843744,1218.133809
7.2,637.4403716,573.7844138,1218.284986
7.21,637.4404095,573.7844532,1218.435728
7.22,637.4404467,573.7844926,1218.586037
7.23,637.440483,573.7845293,1218.735913
7.24,637.4405186,573.7845635,1218.885361
7.25,637.4405534,573.784595,1219.03438
7.26,637.4405875,573.7846265,1219.182974
7.27,637.4406209,573.7846527,1219.331145
7.28,637.4406536,573.784679,1219.478893
7.29,637.4406855,573.7847,1219.626222
7.3,637.4407168,573.784721,1219.773133
7.31,637.4407475,573.7847367,1219.919628
7.32,637.4407774,573.7847525,1220.065709
7.33,637.4408068,573.784763,1220.211377
7.34,637.4408355,573.7847709,1220.356636
7.35,637.4408636,573.7847735,1220.501485
7.36,637.4408911,573.7847761,1220.645928
7.37,637.440918,573.7847735,1220.789966
7.38,637.4409444,573.7847682,1220.9336
7.39,637.4409702,573.7847604,1221.076834
7.4,637.4409954,573.7847499,1221.219667
7.41,637.4410201,573.7847367,1221.362103
7.42,637.4410443,573.784721,1221.504143
7.43,637.441068,573.7847026,1221.645788
7.44,637.4410912,573.7846816,1221.787041
7.45,637.4411139,573.784658,1221.927903
7.46,637.4411361,573.7846317,1222.068376
7.47,637.4411578,573.7846028,1222.208461
7.48,637.4411791,573.784574,1222.34816
7.49,637.4411999,573.7845451,1222.487475
7.5,637.4412203,573.7845109,1222.626407
7.51,637.4412402,573.7844794,1222.764959
7.52,637.4412597,573.7844427,1222.903131
7.53,637.4412788,573.7844085,1223.040926
7.54,637.4412975,573.7843744,1223.178345
7.55,637.4413158,573.7843377,1223.315389
7.56,637.4413337,573.7843009,1223.45206
7.57,637.4413513,573.7842668,1223.58836
7.58,637.4413684,573.7842326,1223.72429
7.59,637.4413852,573.7841959,1223.859853
7.6,637.4414017,573.7841618,1223.995048
7.61,637.4414178,573.7841302,1224.129879
7.62,637.4414335,573.7840987,1224.264346
7.63,637.4414489,573.7840672,1224.398451
7.64,637.441464,573.7840384,1224.532195
7.65,637.4414788,573.7840121,1224.66558
7.66,637.4414932,573.7839858,1224.798608
7.67,637.4415074,573.7839622,1224.93128
7.68,637.4415212,573.7839386,1225.063597
7.69,637.4415348,573.7839176,1225.195562
7.7,637.4415481,573.7838992,1225.327174
7.71,637.4415611,573.7838834,1225.458437
7.72,637.4415738,573.7838677,1225.58935
7.73,637.4415862,573.7838572,1225.719916
7.74,637.4415984,573.7838467,1225.850136
7.75,637.4416103,573.7838388,1225.980012
7.76,637.441622,573.7838309,1226.109545
7.77,637.4416334,573.7838283,1226.238736
7.78,637.4416446,573.7838257,1226.367586
7.79,637.4416555,573.7838257,1226.496098
7.8,637.4416662,573.7838283,1226.624272
7.81,637.4416767,573.7838309,1226.752109
7.82,637.4416869,573.7838362,1226.879612
7.83,637.441697,573.7838441,1227.006782
7.84,637.4417068,573.7838519,1227.133619
7.85,637.4417164,573.7838624,1227.260125
7.86,637.4417258,573.7838729,1227.386302
7.87,637.441735,573.7838861,1227.51215
7.88,637.4417441,573.7838992,1227.637671
7.89,637.4417529,573.783915,1227.762867
7.9,637.4417615,573.7839307,1227.887738
7.91,637.44177,573.7839491,1228.012287
7.92,637.4417783,573.7839675,1228.136513
7.93,637.4417864,573.7839858,1228.260419
7.94,637.4417943,573.7840042,1228.384006
7.95,637.4418021,573.7840252,1228.507274
7.96,637.4418096,573.7840462,1228.630226
7.97,637.4418171,573.7840672,1228.752863
7.98,637.4418244,573.7840882,1228.875185
7.99,637.4418315,573.7841092,1228.997194
8,637.4418385,573.7841302,1229.118891
8.01,637.4418453,573.7841513,1229.240277
8.02,637.441852,573.7841723,1229.361354
8.03,637.4418585,573.7841933,1229.482123
8.04,637.4418649,573.7842143,1229.602585
8.05,637.4418712,573.7842326,1229.722741
8.06,637.4418773,573.7842536,1229.842592
8.07,637.4418833,573.784272,1229.96214
8.08,637.4418892,573.784293,1230.081385
8.09,637.4418949,573.7843114,1230.200329
8.1,637.4419005,573.7843272,1230.318973
8.11,637.441906,573.7843455,1230.437318
8.12,637.4419114,573.7843613,1230.555366
8.13,637.4419167,573.784377,1230.673116
8.14,637.4419219,573.7843928,1230.790572
8.15,637.4419269,573.7844059,1230.907733
8.16,637.4419319,573.7844191,1231.024601
8.17,637.4419367,573.7844322,1231.141176
8.18,637.4419414,573.7844427,1231.257461
8.19,637.4419461,573.7844532,1231.373456
8.2,637.4419506,573.7844637,1231.489162
8.21,637.4419551,573.7844716,1231.60458
8.22,637.4419594,573.7844794,1231.719711
8.23,637.4419637,573.7844847,1231.834557
8.24,637.4419678,573.7844899,1231.949118
8.25,637.4419719,573.7844952,1232.063396
8.26,637.4419759,573.7845004,1232.177392
8.27,637.4419798,573.7845031,1232.291106
8.28,637.4419836,573.7845031,1232.40454
8.29,637.4419874,573.7845031,1232.517695
8.3,637.441991,573.7845031,1232.630572
8.31,637.4419946,573.7845031,1232.743171
8.32,637.4419981,573.7845004,1232.855494
8.33,637.4420016,573.7844952,1232.967542
8.34,637.4420049,573.7844926,1233.079316
8.35,637.4420082,573.7844873,1233.190817
8.36,637.4420114,573.7844794,1233.302046
8.37,637.4420146,573.7844742,1233.413004
8.38,637.4420177,573.7844663,1233.523692
8.39,637.4420207,573.7844558,1233.63411
8.4,637.4420236,573.7844479,1233.744261
8.41,637.4420265,573.7844374,1233.854144
8.42,637.4420294,573.7844243,1233.963761
8.43,637.4420321,573.7844138,1234.073114
8.44,637.4420349,573.7844007,1234.182202
8.45,637.4420375,573.7843875,1234.291026
8.46,637.4420401,573.7843718,1234.399589
8.47,637.4420427,573.7843587,1234.50789
8.48,637.4420451,573.7843429,1234.615931
8.49,637.4420476,573.7843272,1234.723712
8.5,637.44205,573.7843114,1234.831234
8.51,637.4420523,573.7842957,1234.9385
8.52,637.4420546,573.7842799,1235.045508
8.53,637.4420568,573.7842641,1235.152261
8.54,637.442059,573.7842458,1235.258759
8.55,637.4420612,573.78423,1235.365003
8.56,637.4420633,573.7842116,1235.470995
8.57,637.4420653,573.7841959,1235.576734
8.58,637.4420673,573.7841775,1235.682222
8.59,637.4420693,573.7841618,1235.78746
8.6,637.4420712,573.7841434,1235.892448
8.61,637.4420731,573.7841276,1235.997188
8.62,637.4420749,573.7841119,1236.101681
8.63,637.4420767,573.7840961,1236.205926
8.64,637.4420785,573.7840804,1236.309926
8.65,637.4420802,573.7840646,1236.413681
8.66,637.4420819,573.7840489,1236.517192
8.67,637.4420836,573.7840357,1236.62046
8.68,637.4420852,573.7840226,1236.723485
8.69,637.4420868,573.7840095,1236.826269
8.7,637.4420883,573.7839963,1236.928812
8.71,637.4420899,573.7839832,1237.031115
8.72,637.4420914,573.7839727,1237.13318
8.73,637.4420928,573.7839622,1237.235006
8.74,637.4420942,573.7839543,1237.336595
8.75,637.4420956,573.7839438,1237.437948
8.76,637.442097,573.783936,1237.539064
8.77,637.4420983,573.7839307,1237.639947
8.78,637.4420996,573.7839228,1237.740595
8.79,637.4421009,573.7839176,1237.84101
8.8,637.4421022,573.783915,1237.941192
8.81,637.4421034,573.7839097,1238.041143
8.82,637.4421046,573.7839071,1238.140864
8.83,637.4421058,573.7839071,1238.240354
8.84,637.4421069,573.7839045,1238.339616
8.85,637.4421081,573.7839045,1238.438649
8.86,637.4421092,573.7839071,1238.537454
8.87,637.4421102,573.7839071,1238.636033
8.88,637.4421113,573.7839097,1238.734385
8.89,637.4421123,573.783915,1238.832513
8.9,637.4421133,573.7839176,1238.930416
8.91,637.4421143,573.7839228,1239.028095
8.92,637.4421153,573.7839307,1239.125551
8.93,637.4421162,573.783936,1239.222786
8.94,637.4421172,573.7839438,1239.319799
8.95,637.4421181,573.7839517,1239.416591
8.96,637.442119,573.7839622,1239.513164
8.97,637.4421198,573.7839727,1239.609517
8.98,637.4421207,573.7839832,1239.705652
8.99,637.4421215,573.7839937,1239.80157
9,637.4421223,573.7840042,1239.89727
9.01,637.4421231,573.7840173,1239.992755
9.02,637.4421239,573.7840305,1240.088024
9.03,637.4421247,573.7840436,1240.183078
9.04,637.4421254,573.7840594,1240.277919
9.05,637.4421262,573.7840725,1240.372546
9.06,637.4421269,573.7840882,1240.466961
9.07,637.4421276,573.784104,1240.561164
9.08,637.4421283,573.7841197,1240.655156
9.09,637.4421289,573.7841355,1240.748938
9.1,637.4421296,573.7841513,1240.842509
9.11,637.4421303,573.7841696,1240.935872
9.12,637.4421309,573.7841854,1241.029027
9.13,637.4421315,573.7842011,1241.121974
9.14,637.4421321,573.7842195,1241.214715
9.15,637.4421327,573.7842353,1241.307249
9.16,637.4421333,573.784251,1241.399578
9.17,637.4421338,573.7842694,1241.491702
9.18,637.4421344,573.7842852,1241.583622
9.19,637.4421349,573.7843009,1241.675338
9.2,637.4421355,573.7843167,1241.766852
9.21,637.442136,573.7843324,1241.858163
9.22,637.4421365,573.7843455,1241.949274
9.23,637.442137,573.7843613,1242.040183
9.24,637.4421375,573.7843744,1242.130893
9.25,637.442138,573.7843875,1242.221403
9.26,637.4421384,573.7844007,1242.311714
9.27,637.4421389,573.7844138,1242.401827
9.28,637.4421393,573.7844243,1242.491743
9.29,637.4421398,573.7844348,1242.581462
9.3,637.4421402,573.7844453,1242.670985
9.31,637.4421406,573.7844532,1242.760312
9.32,637.442141,573.7844611,1242.849445
9.33,637.4421414,573.7844689,1242.938383
9.34,637.4421418,573.7844742,1243.027128
9.35,637.4421422,573.7844794,1243.115679
9.36,637.4421426,573.7844847,1243.204039
9.37,637.442143,573.7844873,1243.292207
9.38,637.4421433,573.7844899,1243.380183
9.39,637.4421437,573.7844926,1243.46797
9.4,637.442144,573.7844926,1243.555566
9.41,637.4421444,573.7844926,1243.642973
9.42,637.4421447,573.7844899,1243.730192
9.43,637.442145,573.7844873,1243.817223
9.44,637.4421453,573.7844847,1243.904066
9.45,637.4421456,573.7844821,1243.990723
9.46,637.4421459,573.7844768,1244.077193
9.47,637.4421462,573.7844689,1244.163478
9.48,637.4421465,573.7844637,1244.249578
9.49,637.4421468,573.7844558,1244.335493
9.5,637.4421471,573.7844479,1244.421225
9.51,637.4421474,573.7844401,1244.506773
9.52,637.4421476,573.7844296,1244.592139
9.53,637.4421479,573.7844217,1244.677323
9.54,637.4421482,573.7844112,1244.762326
9.55,637.4421484,573.784398,1244.847147
9.56,637.4421487,573.7843875,1244.931789
9.57,637.4421489,573.784377,1245.01625
9.58,637.4421491,573.7843639,1245.100533
9.59,637.4421494,573.7843508,1245.184637
9.6,637.4421496,573.7843377,1245.268563
9.61,637.4421498,573.7843245,1245.352311
9.62,637.44215,573.7843114,1245.435883
9.63,637.4421502,573.7842983,1245.519279
9.64,637.4421504,573.7842852,1245.602498
9.65,637.4421506,573.7842694,1245.685543
9.66,637.4421508,573.7842563,1245.768413
9.67,637.442151,573.7842431,1245.851109
9.68,637.4421512,573.7842274,1245.933631
9.69,637.4421514,573.7842143,1246.015981
9.7,637.4421516,573.7842011,1246.098158
9.71,637.4421518,573.784188,1246.180163
9.72,637.4421519,573.7841749,1246.261996
9.73,637.4421521,573.7841591,1246.343659
9.74,637.4421523,573.784146,1246.425152
9.75,637.4421524,573.7841355,1246.506475
9.76,637.4421526,573.7841224,1246.587629
9.77,637.4421528,573.7841092,1246.668613
9.78,637.4421529,573.7840987,1246.74943
9.79,637.4421531,573.7840856,1246.83008
9.8,637.4421532,573.7840751,1246.910562
9.81,637.4421534,573.7840646,1246.990877
9.82,637.4421535,573.7840541,1247.071027
9.83,637.4421536,573.7840462,1247.151011
9.84,637.4421538,573.7840357,1247.23083
9.85,637.4421539,573.7840279,1247.310484
9.86,637.442154,573.78402,1247.389974
9.87,637.4421542,573.7840121,1247.469301
9.88,637.4421543,573.7840042,1247.548465
9.89,637.4421544,573.783999,1247.627466
9.9,637.4421545,573.7839937,1247.706305
9.91,637.4421546,573.7839885,1247.784983
9.92,637.4421547,573.7839832,1247.8635
9.93,637.4421549,573.7839806,1247.941856
9.94,637.442155,573.783978,1248.020052
9.95,637.4421551,573.7839753,1248.098089
9.96,637.4421552,573.7839727,1248.175967
9.97,637.4421553,573.7839727,1248.253686
9.98,637.4421554,573.7839727,1248.331247
9.99,637.4421555,573.7839727,1248.408651
10,637.4421556,573.7839727,1248.485897
